document_id,application_id,doc_type,file_name,mime_type,size_bytes,storage_key,source,page_count,uploaded_by,uploaded_at,status,sha256,ocr_quality
11,2,BANK_STATEMENT,lopez-veterinary-solutions-i-bank_statement-202602.pdf,application/pdf,742461,northstar-documents/nsc_direct/2/11/lopez-veterinary-solutions-i-bank_statement-202602.pdf,EMAIL,3,intake@northstarcapital.com,2026-02-07 20:35:16.403334-05:00,RECEIVED,,good
12,3,BANK_STATEMENT,kannapolis-optical-partners--bank_statement-202602.pdf,application/pdf,649416,northstar-documents/nsc_direct/3/12/kannapolis-optical-partners--bank_statement-202602.pdf,PORTAL_UPLOAD,6,christopher.rodriguez@kannapolisco.com,2026-02-25 10:49:19.645368-05:00,PARSED,e4769de1b9d0a8c64e117fab5f0115d7f498ce49967ac7a2aefd44f07250455e,fair
13,3,TAX_RETURN,fax-20260227-0013.pdf,application/pdf,904743,northstar-documents/nsc_direct/3/13/fax-20260227-0013.pdf,FAX,7,system,2026-02-27 03:46:52.553376-05:00,QUARANTINED,,poor
14,3,DEBT_SCHEDULE,kannapolis-optical-partners--debt_schedule-202602.xls,application/vnd.ms-excel,395559,northstar-documents/nsc_direct/3/14/kannapolis-optical-partners--debt_schedule-202602.xls,LEDGERLINK,3,system,2026-02-28 18:43:04.191713-05:00,PARSED,,good
15,4,BANK_STATEMENT,document (2).pdf,application/pdf,2319048,northstar-documents/cascade/4/15/document (2).pdf,EMAIL,9,intake@northstarcapital.com,2026-02-09 06:20:36.431933-05:00,PARSED,,good
16,4,BANK_STATEMENT,concord-janitorial-llc-bank_statement-202602.pdf,application/pdf,4334610,northstar-documents/cascade/4/16/concord-janitorial-llc-bank_statement-202602.pdf,PORTAL_UPLOAD,14,jessica.gonzalez@concordco.com,2026-02-09 22:01:20.305264-05:00,PARSED,,fair
17,4,BANK_STATEMENT,Untitled.pdf,application/pdf,1138392,northstar-documents/cascade/4/17/Untitled.pdf,EMAIL,9,intake@northstarcapital.com,2026-02-10 00:36:44.780836-05:00,PARSED,,good
18,5,BANK_STATEMENT,taylor-janitorial-llc-bank_statement-202602.pdf,application/pdf,1001670,northstar-documents/nsc_direct/5/18/taylor-janitorial-llc-bank_statement-202602.pdf,BRANCH_SCAN,10,system,2026-02-14 12:57:29.126073-05:00,PARSED,,poor
19,5,BANK_STATEMENT,taylor-janitorial-llc-bank_statement-202602.pdf,application/pdf,2568324,northstar-documents/nsc_direct/5/19/taylor-janitorial-llc-bank_statement-202602.pdf,LEDGERLINK,11,system,2026-02-15 05:13:00.618523-05:00,PARSED,,good
20,5,VOIDED_CHECK,taylor-janitorial-llc-voided_check-202602.jpg,image/jpeg,1479200,northstar-documents/nsc_direct/5/20/taylor-janitorial-llc-voided_check-202602.jpg,PORTAL_UPLOAD,5,robert.rivera@taylorinc.com,2026-02-13 05:07:56.984209-05:00,PARSED,35d0916ccfd4079dffa3316c3a230b307b0c66f94b832c35ec954aa97db79ebb,good
21,6,BANK_STATEMENT,salisbury-auto-partners-llc-bank_statement-202602.pdf,application/pdf,1161688,northstar-documents/cascade/6/21/salisbury-auto-partners-llc-bank_statement-202602.pdf,PORTAL_UPLOAD,4,robert.hill@salisbury.com,2026-02-05 06:35:49.996404-05:00,PARSED,74007b821109a7e7b4dc7a689cd258b331f92994560f24946152f874df55bc46,good
22,7,BANK_STATEMENT,granite-services-solutions-i-bank_statement-202602.pdf,application/pdf,605539,northstar-documents/nsc_direct/7/22/granite-services-solutions-i-bank_statement-202602.pdf,PORTAL_UPLOAD,11,nicholas.gonzalez@granite.com,2026-02-02 17:06:01.583609-05:00,PARSED,60b2a70ac847d897cf0dfd255d4bfe1f78039afb0d6bab0a61ac9e5a32ec4f81,good
23,8,BANK_STATEMENT,uwharrie-roasters-group-llc-bank_statement-202602.pdf,application/pdf,1157520,northstar-documents/nsc_direct/8/23/uwharrie-roasters-group-llc-bank_statement-202602.pdf,PORTAL_UPLOAD,7,robert.rodriguez@uwharrie.com,2026-02-10 17:32:19.490362-05:00,RECEIVED,4d13e5fddf0e3e21570511c806fb5f704e3b23763580c20a6540665e17fb5090,good
24,8,BANK_STATEMENT,uwharrie-roasters-group-llc-bank_statement-202602.pdf,application/pdf,1407810,northstar-documents/nsc_direct/8/24/uwharrie-roasters-group-llc-bank_statement-202602.pdf,PORTAL_UPLOAD,10,robert.rodriguez@uwharrie.com,2026-02-10 15:20:42.026361-05:00,PARSED,f958e682faa8a195d251cf9a4f379def759a1d9014426362da3a58d47f9a3f7b,good
25,8,BANK_STATEMENT,uwharrie-roasters-group-llc-bank_statement-202602.pdf,application/pdf,2694237,northstar-documents/nsc_direct/8/25/uwharrie-roasters-group-llc-bank_statement-202602.pdf,PORTAL_UPLOAD,13,robert.rodriguez@uwharrie.com,2026-02-11 08:29:03.427402-05:00,PARSED,0704d959ee61ca1e89246420d2e091b993629ef850303d41fbfe502727d3f52a,fair
26,8,TAX_RETURN,uwharrie-roasters-group-llc-tax_return-202602.pdf,application/pdf,4315994,northstar-documents/nsc_direct/8/26/uwharrie-roasters-group-llc-tax_return-202602.pdf,PORTAL_UPLOAD,17,robert.rodriguez@uwharrie.com,2026-02-09 21:52:52.488329-05:00,PARSED,0e9703184c046ffe383143ad80d0baa116f1ea0b47328c4b97926fd12ad14400,good
27,9,BANK_STATEMENT,mallard-company-inc-bank_statement-202602.pdf,application/pdf,294085,northstar-documents/nsc_direct/9/27/mallard-company-inc-bank_statement-202602.pdf,PORTAL_UPLOAD,5,betty.blalock@mallard.com,2026-02-03 12:02:23.642049-05:00,PARSED,abc23410f5f895cbe365b00909d17ff1c2e340e33608d0dbecf510aeeee53db9,good
28,9,AR_AGING,mallard-company-inc-ar_aging-202602.xls,application/vnd.ms-excel,3553872,northstar-documents/nsc_direct/9/28/mallard-company-inc-ar_aging-202602.xls,PORTAL_UPLOAD,28,betty.blalock@mallard.com,2026-02-03 17:09:33.156211-05:00,PARSED,7fca3510bedd7bc07d65171d27387e8d72fed1c1a0a8929acd8b12ae257ccd9b,fair
29,9,TAX_RETURN,mallard-company-inc-tax_return-202602.pdf,application/pdf,7475400,northstar-documents/nsc_direct/9/29/mallard-company-inc-tax_return-202602.pdf,PORTAL_UPLOAD,25,betty.blalock@mallard.com,2026-02-05 22:54:00.846442-05:00,QUARANTINED,cb548fdddceb263aaab8837a1b7807e81b920fd5cecc6e3c443a1585ad517af3,good
30,10,BANK_STATEMENT,granite-supply-llc-bank_statement-202602.pdf,application/pdf,670924,northstar-documents/nsc_direct/10/30/granite-supply-llc-bank_statement-202602.pdf,PORTAL_UPLOAD,4,stephen.young@graniteco.com,2026-02-09 02:11:24.910317-05:00,PARSED,f054ae7a94895e55c986bb8eec91c2d3c4f85e420e77881b987cd93999792e3f,good
31,10,OTHER,granite-supply-llc-other-202602.pdf,application/pdf,1482852,northstar-documents/nsc_direct/10/31/granite-supply-llc-other-202602.pdf,LEDGERLINK,7,system,2026-02-11 07:37:25.379449-05:00,PARSE_FAILED,,good
32,11,BANK_STATEMENT,statesville-contractors-inc-bank_statement-202602.pdf,application/pdf,589680,northstar-documents/cascade/11/32/statesville-contractors-inc-bank_statement-202602.pdf,BRANCH_SCAN,12,system,2026-02-06 23:27:13.024558-05:00,PARSED,,fair
33,11,BANK_STATEMENT,statesville-contractors-inc-bank_statement-202602.pdf,application/pdf,421416,northstar-documents/cascade/11/33/statesville-contractors-inc-bank_statement-202602.pdf,PORTAL_UPLOAD,3,sharon.ramirez@statesvilleinc.com,2026-02-07 21:50:28.195707-05:00,RECEIVED,09dd93dbac2bff707a314152137a3d0a24734d90b3a7bb17bda10e5e547e3ec6,fair
34,11,BANK_STATEMENT,fax-20260205-0034.pdf,application/pdf,552928,northstar-documents/cascade/11/34/fax-20260205-0034.pdf,FAX,4,system,2026-02-05 21:33:00.206012-05:00,PARSED,,fair
35,12,BANK_STATEMENT,fax-20260216-0035.pdf,application/pdf,1354223,northstar-documents/nsc_direct/12/35/fax-20260216-0035.pdf,FAX,13,system,2026-02-16 20:01:02.322335-05:00,PARSED,,poor
36,12,AR_AGING,torres-salon-llc-ar_aging-202602.xls,application/vnd.ms-excel,490959,northstar-documents/nsc_direct/12/36/torres-salon-llc-ar_aging-202602.xls,PORTAL_UPLOAD,7,emily.boyd@torresco.com,2026-02-16 08:44:26.483156-05:00,PARSED,868f5dfd98e27499e24c47eed67ad4a39545a0076459e3820fdee5fd2afaf6ef,good
37,12,DRIVERS_LICENSE,torres-salon-llc-drivers_license-202602.jpg,image/jpeg,1011004,northstar-documents/nsc_direct/12/37/torres-salon-llc-drivers_license-202602.jpg,LEDGERLINK,4,system,2026-02-15 17:45:52.298568-05:00,PARSED,,good
38,13,BANK_STATEMENT,cherryville-enterprises-llc-bank_statement-202602.pdf,application/pdf,866538,northstar-documents/nsc_direct/13/38/cherryville-enterprises-llc-bank_statement-202602.pdf,PORTAL_UPLOAD,6,brenda.smith@cherryvilleco.com,2026-02-05 10:46:32.228801-05:00,PARSED,63e413879be6c1cb81a0e304f85534d35b76bab09f5f9d7c1021ca20c6d18d38,good
39,13,DEBT_SCHEDULE,fax-20260205-0039.pdf,application/pdf,942955,northstar-documents/nsc_direct/13/39/fax-20260205-0039.pdf,FAX,5,system,2026-02-05 19:03:18.334079-05:00,QUARANTINED,,fair
40,14,BANK_STATEMENT,waxhaw-machine-llc-bank_statement-202602.pdf,application/pdf,1149837,northstar-documents/nsc_direct/14/40/waxhaw-machine-llc-bank_statement-202602.pdf,EMAIL,13,intake@northstarcapital.com,2026-02-08 20:10:17.349585-05:00,PARSED,,poor
41,14,BANK_STATEMENT,waxhaw-machine-llc-bank_statement-202602.pdf,application/pdf,380961,northstar-documents/nsc_direct/14/41/waxhaw-machine-llc-bank_statement-202602.pdf,LEDGERLINK,3,system,2026-02-07 16:17:09.411280-05:00,PARSED,,good
42,14,VOIDED_CHECK,IMG_4471.pdf,image/jpeg,1100732,northstar-documents/nsc_direct/14/42/IMG_4471.pdf,EMAIL,4,intake@northstarcapital.com,2026-02-06 05:45:24.921105-05:00,PARSED,,fair
43,15,BANK_STATEMENT,maple-contractors-inc-bank_statement-202602.pdf,application/pdf,1589105,northstar-documents/nsc_direct/15/43/maple-contractors-inc-bank_statement-202602.pdf,PORTAL_UPLOAD,7,rebecca.clark@maple.com,2026-02-05 22:32:20.803745-05:00,PARSED,fe0756929c9f305cea2937670bb07f9c4d382279bbddf85b128cac13731c8a4e,good
44,15,BANK_STATEMENT,maple-contractors-inc-bank_statement-202602.pdf,application/pdf,3109183,northstar-documents/nsc_direct/15/44/maple-contractors-inc-bank_statement-202602.pdf,LEDGERLINK,11,system,2026-02-08 10:50:47.083177-05:00,PARSED,,good
45,15,VOIDED_CHECK,maple-contractors-inc-voided_check-202602.jpg,image/jpeg,2182800,northstar-documents/nsc_direct/15/45/maple-contractors-inc-voided_check-202602.jpg,PORTAL_UPLOAD,20,rebecca.clark@maple.com,2026-02-06 09:43:40.484376-05:00,PARSED,5b27608a37b3ac06908ec953af35cc113728c67bba2d05a53138ba98ad106079,good
46,15,BANK_STATEMENT,fax-20260206-0046.pdf,application/pdf,891492,northstar-documents/nsc_direct/15/46/fax-20260206-0046.pdf,FAX,12,system,2026-02-06 19:12:43.927680-05:00,PARSED,,fair
47,16,BANK_STATEMENT,cornelius-staffing-co-bank_statement-202602.pdf,application/pdf,1967567,northstar-documents/cascade/16/47/cornelius-staffing-co-bank_statement-202602.pdf,EMAIL,7,intake@northstarcapital.com,2026-02-10 08:24:33.076128-05:00,PARSED,,fair
48,16,BANK_STATEMENT,cornelius-staffing-co-bank_statement-202602.pdf,application/pdf,991320,northstar-documents/cascade/16/48/cornelius-staffing-co-bank_statement-202602.pdf,PORTAL_UPLOAD,11,stephanie.nguyen@corneliusbiz.com,2026-02-11 02:36:57.639649-05:00,PARSED,08adcd9607d5c4d8c841d623795c34facfe8ff469a1ef3f20ea8f254103bbd69,good
49,16,BANK_STATEMENT,cornelius-staffing-co-bank_statement-202602.pdf,application/pdf,1794732,northstar-documents/cascade/16/49/cornelius-staffing-co-bank_statement-202602.pdf,BRANCH_SCAN,6,system,2026-02-10 23:59:29.604849-05:00,PARSED,,poor
50,17,BANK_STATEMENT,piedmont-hvac-inc-bank_statement-202603.pdf,application/pdf,711381,northstar-documents/nsc_direct/17/50/piedmont-hvac-inc-bank_statement-202603.pdf,PORTAL_UPLOAD,11,nancy.vasquez@piedmontbiz.com,2026-03-23 23:32:55.579496-05:00,PARSED,0067db11ce83a5bd4915e0920d59459e7b64a29043fbc4714cf85431970bad1f,good
51,17,TAX_RETURN,piedmont-hvac-inc-tax_return-202603.pdf,application/pdf,6426661,northstar-documents/nsc_direct/17/51/piedmont-hvac-inc-tax_return-202603.pdf,PORTAL_UPLOAD,29,nancy.vasquez@piedmontbiz.com,2026-03-24 12:12:16.941382-05:00,PARSED,314190afb64f2130fcab536465c0a700bcb50db9bc470e78dcf2babe0ffe30f5,good
52,17,DRIVERS_LICENSE,piedmont-hvac-inc-drivers_license-202603.jpg,image/jpeg,2404860,northstar-documents/nsc_direct/17/52/piedmont-hvac-inc-drivers_license-202603.jpg,PORTAL_UPLOAD,15,nancy.vasquez@piedmontbiz.com,2026-03-26 18:57:54.044335-05:00,PARSED,32f9488b97a34d76e7bd5965c9fe79c16441356c3c7bc424137a098eed24f461,good
53,18,BANK_STATEMENT,rowan-services-llc-bank_statement-202602.pdf,application/pdf,2751723,northstar-documents/nsc_direct/18/53/rowan-services-llc-bank_statement-202602.pdf,PORTAL_UPLOAD,9,melissa.gonzalez@rowanbiz.com,2026-02-05 09:57:14.207514-05:00,PARSED,1d40327b00ea55a862eb74620fb620e6372595fdb91666d2470eeb2a68f449bf,good
54,18,BANK_STATEMENT,rowan-services-llc-bank_statement-202602.pdf,application/pdf,1817030,northstar-documents/nsc_direct/18/54/rowan-services-llc-bank_statement-202602.pdf,EMAIL,10,intake@northstarcapital.com,2026-02-06 14:45:55.731129-05:00,PARSE_FAILED,,good
55,18,VOIDED_CHECK,rowan-services-llc-voided_check-202602.jpg,image/jpeg,2197734,northstar-documents/nsc_direct/18/55/rowan-services-llc-voided_check-202602.jpg,PORTAL_UPLOAD,7,melissa.gonzalez@rowanbiz.com,2026-02-04 11:03:46.832967-05:00,QUARANTINED,103564f81aeea3adef69f5d878a64015befd86a1166ad70afcd8993777117d71,fair
56,19,BANK_STATEMENT,mooresville-roasters-llc-bank_statement-202602.pdf,application/pdf,455049,northstar-documents/nsc_direct/19/56/mooresville-roasters-llc-bank_statement-202602.pdf,PORTAL_UPLOAD,9,nancy.mabry@mooresvillebiz.com,2026-02-09 09:32:55.409601-05:00,PARSED,cdfabd2c5fe8be8ac7f2bd6869385bbb9d8bad1b3eb32326176329642edffc9a,fair
57,19,DRIVERS_LICENSE,mooresville-roasters-llc-drivers_license-202602.jpg,image/jpeg,4990521,northstar-documents/nsc_direct/19/57/mooresville-roasters-llc-drivers_license-202602.jpg,PORTAL_UPLOAD,19,nancy.mabry@mooresvillebiz.com,2026-02-07 17:40:22.192820-05:00,PARSED,e82312cc31e553513dd66d66e326ef2154ef0236ea2ba992f2534d4ab2f43443,good
58,19,BANK_STATEMENT,mooresville-roasters-llc-bank_statement-202602.pdf,application/pdf,406116,northstar-documents/nsc_direct/19/58/mooresville-roasters-llc-bank_statement-202602.pdf,EMAIL,3,intake@northstarcapital.com,2026-02-07 17:21:30.676258-05:00,PARSED,,fair
59,20,BANK_STATEMENT,davidson-roasters-solutions--bank_statement-202602.pdf,application/pdf,1288074,northstar-documents/nsc_direct/20/59/davidson-roasters-solutions--bank_statement-202602.pdf,PORTAL_UPLOAD,6,donald.allen@davidson.com,2026-02-14 00:31:01.641876-05:00,PARSED,df21c5c2bc31ba273b9f27f2ee2b72e6a4430a7bdd610cc618d349a782624701,good
60,20,AR_AGING,fax-20260216-0060.pdf,application/pdf,5341100,northstar-documents/nsc_direct/20/60/fax-20260216-0060.pdf,FAX,20,system,2026-02-16 00:20:40.674651-05:00,PARSED,,poor
61,20,OTHER,davidson-roasters-solutions--other-202602.pdf,application/pdf,6638216,northstar-documents/nsc_direct/20/61/davidson-roasters-solutions--other-202602.pdf,EMAIL,26,intake@northstarcapital.com,2026-02-16 06:13:04.332435-05:00,PARSED,,poor
62,20,TAX_RETURN,davidson-roasters-solutions--tax_return-202602.pdf,application/pdf,1208976,northstar-documents/nsc_direct/20/62/davidson-roasters-solutions--tax_return-202602.pdf,EMAIL,16,intake@northstarcapital.com,2026-02-12 22:27:02.422618-05:00,PARSED,,poor
63,21,BANK_STATEMENT,document (2).pdf,application/pdf,2736968,northstar-documents/nsc_direct/21/63/document (2).pdf,EMAIL,13,intake@northstarcapital.com,2026-02-13 14:14:34.050065-05:00,RECEIVED,,good
64,21,TAX_RETURN,tryon-staffing-partners-llc-tax_return-202602.pdf,application/pdf,869604,northstar-documents/nsc_direct/21/64/tryon-staffing-partners-llc-tax_return-202602.pdf,PORTAL_UPLOAD,12,george.lee@tryonbiz.com,2026-02-14 00:21:44.315014-05:00,PARSED,6a499387f5e934ecc84aa4635694c333fb4b46f6d230595f26ca03f216425252,good
65,21,BANK_STATEMENT,tryon-staffing-partners-llc-bank_statement-202602.pdf,application/pdf,251704,northstar-documents/nsc_direct/21/65/tryon-staffing-partners-llc-bank_statement-202602.pdf,PORTAL_UPLOAD,4,george.lee@tryonbiz.com,2026-02-15 15:48:37.144438-05:00,PARSED,0df5fea367d807cc51814da469ce91edc53077d6e13aa961b59b424f01aedc92,good
66,22,BANK_STATEMENT,matthews-physical-therapy-co-bank_statement-202602.pdf,application/pdf,2271780,northstar-documents/bayline/22/66/matthews-physical-therapy-co-bank_statement-202602.pdf,EMAIL,10,intake@northstarcapital.com,2026-02-10 22:03:30.458393-05:00,PARSED,,good
67,22,DEBT_SCHEDULE,fax-20260210-0067.pdf,application/pdf,4275702,northstar-documents/bayline/22/67/fax-20260210-0067.pdf,FAX,29,system,2026-02-10 07:49:31.631447-05:00,PARSED,,fair
68,22,BANK_STATEMENT,matthews-physical-therapy-co-bank_statement-202602.pdf,application/pdf,1519749,northstar-documents/bayline/22/68/matthews-physical-therapy-co-bank_statement-202602.pdf,PORTAL_UPLOAD,9,charles.wright@matthewsco.com,2026-02-10 18:57:24.929133-05:00,PARSED,8060bed5c7e54597b2eca449c5bb1fa69613edcfc05ff664b5c01fc0f60ba830,good
69,22,BANK_STATEMENT,matthews-physical-therapy-co-bank_statement-202602.pdf,application/pdf,1363710,northstar-documents/bayline/22/69/matthews-physical-therapy-co-bank_statement-202602.pdf,PORTAL_UPLOAD,5,charles.wright@matthewsco.com,2026-02-08 23:46:31.351731-05:00,PARSED,389f55e51d4db7f9772271c99a22a2909eb380962b88477840e3c78792f9a1bc,poor
70,22,BANK_STATEMENT,matthews-physical-therapy-co-bank_statement-202602.pdf,application/pdf,812084,northstar-documents/bayline/22/70/matthews-physical-therapy-co-bank_statement-202602.pdf,EMAIL,14,intake@northstarcapital.com,2026-02-10 21:52:07.984726-05:00,PARSED,,good
71,23,BANK_STATEMENT,pinehurst-metal-llc-bank_statement-202602.pdf,application/pdf,696572,northstar-documents/nsc_direct/23/71/pinehurst-metal-llc-bank_statement-202602.pdf,PORTAL_UPLOAD,4,timothy.torres@pinehurst.com,2026-02-19 09:19:56.101856-05:00,PARSED,52068b7ecc47e2ba3a8caea4e2c9ac847f9c161dbeaf1180d0ef97b378d2bc61,good
72,23,TAX_RETURN,pinehurst-metal-llc-tax_return-202602.pdf,application/pdf,275732,northstar-documents/nsc_direct/23/72/pinehurst-metal-llc-tax_return-202602.pdf,EMAIL,2,intake@northstarcapital.com,2026-02-18 20:51:33.954417-05:00,PARSED,,good
73,23,TAX_RETURN,pinehurst-metal-llc-tax_return-202602.pdf,application/pdf,2051924,northstar-documents/nsc_direct/23/73/pinehurst-metal-llc-tax_return-202602.pdf,PORTAL_UPLOAD,7,timothy.torres@pinehurst.com,2026-02-19 20:54:03.620656-05:00,PARSED,2e13392e27ca2169fd2fb419e4f018dcc10054dc297ee545e3fa6c0a23f89ebc,good
74,24,BANK_STATEMENT,cheng-security-inc-bank_statement-202602.pdf,application/pdf,1330680,northstar-documents/nsc_direct/24/74/cheng-security-inc-bank_statement-202602.pdf,PORTAL_UPLOAD,8,robert.vasquez@cheng.com,2026-02-07 21:26:51.223352-05:00,PARSED,9f96a8649af66b451475a72308ea147fb34223593fc124218be4da3d970e74c5,good
75,24,TAX_RETURN,cheng-security-inc-tax_return-202602.pdf,application/pdf,1503680,northstar-documents/nsc_direct/24/75/cheng-security-inc-tax_return-202602.pdf,PORTAL_UPLOAD,8,robert.vasquez@cheng.com,2026-02-08 13:09:26.267141-05:00,PARSED,8a2107c1aa60dcc6bbea18d808fad3a7beeca1d2e5e567786512ac6ffd9c62fb,good
76,24,TAX_RETURN,cheng-security-inc-tax_return-202602.pdf,application/pdf,3499920,northstar-documents/nsc_direct/24/76/cheng-security-inc-tax_return-202602.pdf,PORTAL_UPLOAD,24,robert.vasquez@cheng.com,2026-02-07 06:46:37.167089-05:00,PARSED,074a7211a78fdc8b150ea9dff242db7602868cf86a52f070eb9310475d83e6d0,good
77,25,BANK_STATEMENT,salisbury-irrigation-llc-bank_statement-202602.pdf,application/pdf,1161580,northstar-documents/bayline/25/77/salisbury-irrigation-llc-bank_statement-202602.pdf,PORTAL_UPLOAD,5,karen.brown@salisburyco.com,2026-02-06 10:43:48.504234-05:00,PARSED,0d5e16056da82bacb6861c8906d1622e8cefb9587767b1b1701b0ae37c29bd69,good
78,25,BANK_STATEMENT,fax-20260206-0078.pdf,application/pdf,548496,northstar-documents/bayline/25/78/fax-20260206-0078.pdf,FAX,4,system,2026-02-06 05:14:13.215678-05:00,PARSED,,poor
79,26,BANK_STATEMENT,kestrel-veterinary-co-bank_statement-202602.pdf,application/pdf,492704,northstar-documents/cascade/26/79/kestrel-veterinary-co-bank_statement-202602.pdf,PORTAL_UPLOAD,4,emily.adams@kestrel.com,2026-02-12 15:03:07.539081-05:00,PARSED,ee0dc984f0a48d4ad1c6fcbd2567ee2071d69bd434a1a3e118e0f442e65a387b,poor
80,26,VOIDED_CHECK,kestrel-veterinary-co-voided_check-202602.jpg,image/jpeg,8064812,northstar-documents/cascade/26/80/kestrel-veterinary-co-voided_check-202602.jpg,PORTAL_UPLOAD,28,emily.adams@kestrel.com,2026-02-13 11:17:07.674549-05:00,PARSED,9dc0d1be059da315b2984fb0c89228fcedd89f38a0f3a42f9cddabbcb477d0ec,good
81,26,OTHER,document (2).pdf,application/pdf,1661970,northstar-documents/cascade/26/81/document (2).pdf,EMAIL,10,intake@northstarcapital.com,2026-02-11 15:59:47.550616-05:00,PARSED,,fair
82,26,AR_AGING,kestrel-veterinary-co-ar_aging-202602.xls,application/vnd.ms-excel,3272566,northstar-documents/cascade/26/82/kestrel-veterinary-co-ar_aging-202602.xls,BRANCH_SCAN,11,system,2026-02-11 16:38:40.265583-05:00,PARSED,,poor
83,27,BANK_STATEMENT,huntersville-welding-solutio-bank_statement-202602.pdf,application/pdf,772288,northstar-documents/cascade/27/83/huntersville-welding-solutio-bank_statement-202602.pdf,PORTAL_UPLOAD,4,jacob.robinson@huntersvillebiz.com,2026-02-12 10:36:31.593553-05:00,QUARANTINED,f5e64f9dd91ab0d505d19753e71a46610221d7845de9212ef20f250eb11df5f1,fair
84,27,BANK_STATEMENT,huntersville-welding-solutio-bank_statement-202602.pdf,application/pdf,799631,northstar-documents/cascade/27/84/huntersville-welding-solutio-bank_statement-202602.pdf,PORTAL_UPLOAD,7,jacob.robinson@huntersvillebiz.com,2026-02-12 19:56:07.686649-05:00,PARSED,1f340b6b5ee2aeff34b7f9c99ee5037f212531c25da3e018ace566c293adb4ce,fair
85,27,BANK_STATEMENT,huntersville-welding-solutio-bank_statement-202602.pdf,application/pdf,2111018,northstar-documents/cascade/27/85/huntersville-welding-solutio-bank_statement-202602.pdf,EMAIL,7,intake@northstarcapital.com,2026-02-12 14:58:07.484287-05:00,PARSED,,good
86,27,TAX_RETURN,huntersville-welding-solutio-tax_return-202602.pdf,application/pdf,492058,northstar-documents/cascade/27/86/huntersville-welding-solutio-tax_return-202602.pdf,LEDGERLINK,7,system,2026-02-10 23:36:28.591385-05:00,QUARANTINED,,good
