applicant_id,legal_name,dba_name,ein,owner_ssn_last4,email,phone,tenant_id,created_at,mailing_city,mailing_state,mailing_zip
32,Catawba Contractors Inc,,769412071,1489,nicholas.smith@catawbainc.com,(947) 327-6644,NSC_DIRECT,2024-09-03 20:34:13.893034-05:00,Sacramento,CA,95814
33,Steele Creek Tax LLC,Steele Creek Tax,34-7460795,7412,james.jones@steeleinc.com,481-359-5817,NSC_DIRECT,2022-04-11 00:46:18.708710-05:00,Riverside,CA,92501
34,Shelby Brewing LLC,,23-0548668,3493,lisa.rivera@shelby.com,554-895-7930,NSC_DIRECT,2025-03-17 01:16:21.677681-05:00,Asheville,NC,28801
35,Elizabeth Roasters Solutions Inc,,66-6942741,,kimberly.ramirez@elizabethinc.com,690-819-0472,NSC_DIRECT,2023-08-30 00:31:47.293385-05:00,Bakersfield,CA,93301
36,Statesville Brothers Inc,,,8233,susan.lopez@statesville.com,869-660-5656,BAYLINE,2020-07-19 23:35:28.950564-05:00,Atlanta,GA,30303
37,Sardis Freight Inc,,21-7302356,3609,justin.rivera@sardisbiz.com,3325452333,NSC_DIRECT,2024-10-23 15:57:01.944593-05:00,Rock Hill,SC,29730
38,Dilworth Contractors Partners LLC,,511014469,6286,sandra.yarborough@dilworth.com,394-539-8625,NSC_DIRECT,2019-08-03 12:08:56.013914-05:00,Bakersfield,CA,93301
39,Sunbelt Welding LLC,,97-9728921,6584,pamela.flores@sunbeltbiz.com,744-358-4645,NSC_DIRECT,2020-10-03 11:38:40.048887-05:00,Rock Hill,SC,29730
40,Cherryville Grocery Co,Cherryville Grocery,47-8701261,7043,scott.whitfield@cherryville.com,854-317-6893,NSC_DIRECT,2020-04-21 18:34:16.414224-05:00,Nashville,TN,37201
41,Sharon Tax LLC,,525170864,1630,patricia.nguyen@sharonco.com,(550) 340-0745,NSC_DIRECT,2019-06-29 14:17:28.911962-05:00,Charlotte,NC,28202
42,Uwharrie Works Inc,Uwharrie Works,864287871,1743,benjamin.walker@uwharrie.com,4658155444,NSC_DIRECT,2025-06-30 06:44:35.379305-05:00,Durham,NC,27701
43,Shelby Irrigation LLC,,EIN 62-7425518,3536,emily.lopez@shelby.com,409-799-2694,CASCADE,2022-10-11 09:29:41.397118-05:00,Concord,NC,28025
44,Waxhaw Contractors Services LLC,,63-2637887,7998,jessica.thompson@waxhawinc.com,892-347-4569,NSC_DIRECT,2026-01-09 09:20:54.314053-05:00,Fresno,CA,93701
45,Beatties Ford Staffing LLC,,769932109,1402,ryan.baker@beattiesinc.com,638-897-0960,NSC_DIRECT,2020-11-30 22:00:36.839046-05:00,Asheville,NC,28801
46,Statesville Textile LLC,,EIN 74-9983579,0824,joseph.ramirez@statesvillebiz.com,(452) 220-5525,CASCADE,2020-03-31 04:34:34.827342-05:00,Bakersfield,CA,93301
47,Miller Nursery Co,,31 9763941,,timothy.hill@miller.com,246-712-4084,NSC_DIRECT,2022-03-05 08:59:55.496275-05:00,Charlotte,NC,28211
48,Uwharrie Works Group LLC,,83-5777852,4000,scott.young@uwharrieinc.com,814-321-6031,NSC_DIRECT,2020-10-25 03:20:23.580448-05:00,Richmond,VA,23219
49,Randolph Staffing Inc,,59-5205812,0221,sharon.campbell@randolph.com,346-270-1025,NSC_DIRECT,2023-07-03 08:08:06.644006-05:00,Atlanta,GA,30303
50,Dilworth Towing Inc,,38 9449359,,amy.robinson@dilworthinc.com,957-251-8942,NSC_DIRECT,2020-06-14 10:56:19.921588-05:00,Gastonia,NC,28054
51,Matthews Associates Co,,46-8078976,3277,jonathan.hill@matthewsbiz.com,2418299031,BAYLINE,2023-08-22 19:57:21.820720-05:00,Charlotte,NC,28202
52,Statesville Brewing LLC,,56-4246188,0230,brian.mitchell@statesvilleinc.com,628-824-0288,CASCADE,2024-12-25 11:42:16.744638-05:00,Fresno,CA,93701
53,Miller Auto Inc,,58-2640847,,carol.perez@millerinc.com,3932048381,BAYLINE,2023-04-18 09:49:44.113182-05:00,Winston-Salem,NC,27101
54,Cherryville Brothers Inc,,,7100,cynthia.clark@cherryville.com,647-873-9508,BAYLINE,2025-11-02 17:58:56.395946-05:00,Savannah,GA,31401
55,Baker Brewing Group LLC,,78-6078434,6100,nancy.walker@bakerbiz.com,866-846-7076,NSC_DIRECT,2024-08-12 19:27:50.732227-05:00,Riverside,CA,92501
56,Tryon Security Inc,Tryon Security,95-2324516,,sarah.perez@tryonco.com,820-921-6282,NSC_DIRECT,2025-05-29 13:45:26.605318-05:00,Charlotte,NC,28211
57,Sardis Dental Co,,81-9368820,4098,elizabeth.blalock@sardisinc.com,722-469-1670,NSC_DIRECT,2022-08-19 21:32:02.622501-05:00,Winston-Salem,NC,27101
58,Mallard Supply Group LLC,,71-1000406,4319,scott.johnson@mallardco.com,849-241-7953,NSC_DIRECT,2019-04-19 23:41:56.584786-05:00,Fresno,CA,93701
59,Statesville Metal Partners LLC,,,0373,kevin.walker@statesvillebiz.com,545-634-2527,NSC_DIRECT,2025-03-23 11:44:06.249692-05:00,Charlotte,NC,28202
60,Piedmont Flooring Partners LLC,Piedmont Flooring Partners,79-4546822,2036,justin.thomas@piedmont.com,813-732-2101,CASCADE,2019-05-11 15:05:36.722021-05:00,Riverside,CA,92501
61,Davidson Grocery Inc,,62-1518883,3430,melissa.white@davidsonbiz.com,311-847-0576,NSC_DIRECT,2026-01-24 14:58:36.850359-05:00,Asheville,NC,28801
62,Monroe Company LLC,,,4776,sandra.flores@monroeco.com,241-656-4782,NSC_DIRECT,2024-10-12 14:20:29.501388-05:00,Fresno,CA,93701
63,Beatties Ford Partners LLC,,39-3425159,2851,donna.king@beattiesbiz.com,426-693-9746,BAYLINE,2022-05-23 23:30:12.279747-05:00,Savannah,GA,31401
64,Tuckaseegee Barber LLC,,863476044,0587,anna.sanchez@tuckaseegeeinc.com,733-793-3897,NSC_DIRECT,2023-01-30 09:58:28.674394-05:00,Columbia,SC,29201
65,Ballantyne Contractors Inc,Ballantyne Contractors,37-7856610,,dorothy.carter@ballantynebiz.com,577-999-2830,NSC_DIRECT,2021-12-13 07:20:31.231760-05:00,Winston-Salem,NC,27101
66,Tryon Fitness Partners LLC,,91-4525705,0089,karen.thompson@tryon.com,648-887-1767,NSC_DIRECT,2020-04-20 04:58:39.325763-05:00,Raleigh,NC,27601
67,Gastonia Supply Inc,,853978613,7828,carol.martinez@gastoniaco.com,463-358-4112,BAYLINE,2023-11-28 22:18:42.245411-05:00,Riverside,CA,92501
68,Granite Security LLC,Granite Security,853495937,,laura.lopez@graniteco.com,590-489-6761,NSC_DIRECT,2019-06-01 07:40:43.442150-05:00,Charlotte,NC,28202
69,Dilworth Insurance LLC,,69-7778998,0686,edward.roberts@dilworthbiz.com,765-572-5378,NSC_DIRECT,2025-06-12 18:40:33.556920-05:00,Knoxville,TN,37902
70,Mint Hill Associates LLC,Mint Hill Associates,,6310,samantha.baker@mintco.com,723-723-8369,CASCADE,2019-08-17 13:21:13.162718-05:00,Fresno,CA,93701
71,Idlewild Irrigation Co,,966299482,1259,timothy.thomas@idlewildco.com,787-209-7543,NSC_DIRECT,2023-12-28 09:31:14.186640-05:00,Concord,NC,28025
72,Tuckaseegee Print Inc,,537060524,5508,brandon.thomas@tuckaseegee.com,2975965855,NSC_DIRECT,2020-10-27 03:47:41.402572-05:00,Richmond,VA,23219
73,Robinson Medical Billing Inc,,65-4281876,6850,anthony.green@robinsonco.com,418-556-7030,NSC_DIRECT,2023-02-06 03:01:17.352503-05:00,Fresno,CA,93701
74,Monroe Group Inc,,32-6608755,3401,larry.hill@monroe.com,676-521-3719,NSC_DIRECT,2022-07-08 21:00:04.011640-05:00,Riverside,CA,92501
75,Salisbury Print LLC,,88-8890120,6022,richard.torres@salisburybiz.com,394-661-6352,NSC_DIRECT,2023-07-09 22:34:16.067086-05:00,Richmond,VA,23219
76,Rowan Contractors Services LLC,,37-5501912,7666,richard.lewis@rowan.com,513-417-1016,NSC_DIRECT,2025-04-03 05:35:11.925220-05:00,Rock Hill,SC,29730
77,Salisbury Dental Group LLC,Salisbury Dental Group,542393358,1300,joseph.davis@salisburyco.com,2979922287,NSC_DIRECT,2020-10-27 03:03:03.783162-05:00,Concord,NC,28025
78,Idlewild Landscape LLC,,282108431,5446,kenneth.thompson@idlewildco.com,8174735403,CASCADE,2023-01-30 10:09:24.493316-05:00,Bakersfield,CA,93301
79,Sunbelt Machine Inc,,892431959,0412,sandra.suggs@sunbelt.com,7209545993,CASCADE,2019-11-17 00:50:46.162805-05:00,Riverside,CA,92501
80,Piedmont Bakery LLC,Piedmont Bakery,,7201,christopher.thomas@piedmont.com,435-683-7061,NSC_DIRECT,2019-06-03 16:13:13.012928-05:00,Knoxville,TN,37902
81,Walker Insurance LLC,,,5182,rebecca.lee@walkerbiz.com,372-427-5504,NSC_DIRECT,2025-08-16 04:17:28.726933-05:00,Atlanta,GA,30303
82,Mint Hill Body Shop LLC,,62-1745209,,michael.lopez@mintco.com,552-797-0015,NSC_DIRECT,2021-05-15 02:52:18.895583-05:00,Fresno,CA,93701
83,Statesville Nursery Group LLC,,733001327,7419,matthew.johnson@statesvilleinc.com,559-974-3242,BAYLINE,2025-09-19 11:24:36.386329-05:00,Columbia,SC,29201
84,Piedmont Towing LLC,,242714317,,anthony.carter@piedmontbiz.com,2604927714,NSC_DIRECT,2025-12-15 21:15:19.628337-05:00,Richmond,VA,23219
85,Anderson Plumbing Group LLC,,,1016,kevin.white@andersonco.com,955-454-8456,NSC_DIRECT,2023-07-22 17:13:48.571932-05:00,Charlotte,NC,28204
86,Newton Cabinet LLC,Newton Cabinet,46-5076682,7012,brenda.thomas@newtonco.com,216-354-8705,CASCADE,2020-04-11 16:18:47.660276-05:00,Riverside,CA,92501
87,Huntersville Tax Inc,,87-3457098,1049,charles.garcia@huntersvilleinc.com,3942557988,BAYLINE,2021-03-28 00:21:42.049105-05:00,Greenville,SC,29601
88,Statesville Landscape LLC,Statesville Landscape,933055824,4847,charles.martin@statesvilleco.com,9429798775,NSC_DIRECT,2023-10-22 14:57:55.522000-05:00,Rock Hill,SC,29730
89,Cedar Group LLC,Cedar Group,98-9705750,7970,stephen.ramirez@cedarinc.com,9735802878,NSC_DIRECT,2021-02-26 11:40:39.918699-05:00,Durham,NC,27701
90,Piedmont Works Services LLC,,31 9983616,2803,charles.cheng@piedmont.com,797-408-8034,BAYLINE,2020-04-17 21:41:53.318677-05:00,Charlotte,NC,28211
91,Pinehurst Associates LLC,,33-6300577,5535,margaret.green@pinehurstbiz.com,388-358-6653,NSC_DIRECT,2021-06-13 10:01:22.673713-05:00,Charlotte,NC,28211
92,Sunbelt Coffee Inc,,30 3411255,4524,brenda.williams@sunbeltinc.com,247-768-6592,BAYLINE,2020-04-30 21:57:38.871409-05:00,Charlotte,NC,28211
93,Maple Tax Inc,,,,sharon.campbell@mapleco.com,9507798348,NSC_DIRECT,2025-07-03 04:27:17.451737-05:00,Atlanta,GA,30303
94,Mallard Works LLC,,64 3469504,3831,michelle.carter@mallard.com,276-772-4910,NSC_DIRECT,2025-01-22 16:31:30.890246-05:00,Sacramento,CA,95814
95,Cedar Electric LLC,Cedar Electric,99-9545862,,andrew.thomas@cedar.com,7677225533,BAYLINE,2019-10-29 12:45:45.142440-05:00,Charlotte,NC,28211
96,Cedar Bakery Group LLC,Cedar Bakery Group,292764910,4500,kenneth.hall@cedarbiz.com,931-308-6627,BAYLINE,2020-08-16 06:23:21.648597-05:00,Charlotte,NC,28202
97,Gastonia Roasters LLC,,62-5712979,0519,sandra.suggs@gastoniaco.com,(409) 538-7264,NSC_DIRECT,2023-08-07 08:22:46.321560-05:00,Asheville,NC,28801
98,Ironwood Salon LLC,,41-0223797,1389,susan.nguyen@ironwoodinc.com,816-433-0495,BAYLINE,2025-05-27 12:49:23.154783-05:00,Raleigh,NC,27601
99,Uwharrie and Sons LLC,,95-7197941,,william.garcia@uwharrie.com,480-445-1091,NSC_DIRECT,2024-12-04 00:45:37.827253-05:00,Concord,NC,28025
100,Hill Freight Group LLC,Hill Freight Group,,7323,karen.nelson@hillbiz.com,756-776-0336,CASCADE,2022-12-09 01:55:54.215216-05:00,Sacramento,CA,95814
101,Rowan Group Holdings LLC,Rowan Group Holdings,70-0829261,1147,donald.torres@rowanbiz.com,522-200-5201,NSC_DIRECT,2021-03-31 19:17:58.899235-05:00,Asheville,NC,28801
102,Beatties Ford Pest Control LLC,,EIN 40-7748840,7341,cynthia.perez@beattiesbiz.com,215-387-7577,CASCADE,2022-05-06 17:21:07.486485-05:00,Bakersfield,CA,93301
103,Granite HVAC Holdings LLC,Granite HVAC Holdings,66-7492221,7506,brandon.patel@graniteco.com,271-965-3902,BAYLINE,2025-03-11 03:20:41.848574-05:00,Knoxville,TN,37902
104,Jackson Print LLC,,86 6881968,,jennifer.okafor@jacksoninc.com,9509640063,BAYLINE,2023-01-16 15:22:33.975883-05:00,Charlotte,NC,28202
105,Harris Pest Control Holdings LLC,,661490278,5179,timothy.young@harris.com,461-759-2551,NSC_DIRECT,2019-07-16 05:09:40.808416-05:00,Greenville,SC,29601
106,Catawba Associates Group LLC,Catawba Associates Group,55 0214263,7015,kathleen.yarborough@catawba.com,875-309-6580,NSC_DIRECT,2024-08-01 01:59:27.583988-05:00,Columbia,SC,29201
107,Monroe Fitness LLC,,983167357,7822,anthony.green@monroeco.com,405-480-2322,NSC_DIRECT,2020-01-09 07:09:17.574955-05:00,Bakersfield,CA,93301
108,Sharon Print Inc,Sharon Print,39-6102539,6722,emma.nelson@sharon.com,3153854797,NSC_DIRECT,2023-06-30 15:19:18.780228-05:00,Knoxville,TN,37902
109,Elizabeth Dental Group LLC,,,1761,thomas.hernandez@elizabeth.com,420-250-7087,NSC_DIRECT,2020-06-12 15:42:43.015058-05:00,Richmond,VA,23219
110,Maple Security LLC,Maple Security,23-3878539,9419,jessica.adams@mapleinc.com,625-378-1060,CASCADE,2024-04-28 23:16:28.679503-05:00,Riverside,CA,92501
111,Baker Medical Billing Group LLC,,89-0534301,1310,katherine.cheng@baker.com,405-613-2841,CASCADE,2020-08-18 19:47:37.153504-05:00,Raleigh,NC,27601
112,Tuckaseegee Brothers Co,,97-7982562,7105,matthew.hernandez@tuckaseegee.com,202-522-6590,CASCADE,2024-07-20 18:21:48.468110-05:00,Fresno,CA,93701
113,Cornelius Works Partners LLC,,51-2684166,,william.lewis@corneliusbiz.com,(237) 468-5567,NSC_DIRECT,2020-07-29 17:55:24.403965-05:00,Greenville,SC,29601
114,Kestrel Janitorial Holdings LLC,,98-9783957,6917,michael.boyd@kestrelbiz.com,762-746-0967,NSC_DIRECT,2025-01-01 04:40:29.879626-05:00,Charlotte,NC,28211
115,Ironwood Tire Inc,,730427929,8118,katherine.thompson@ironwood.com,676-896-1000,CASCADE,2021-01-24 22:19:06.661677-05:00,Riverside,CA,92501
116,Taylor Print LLC,,80-8704491,3969,brian.hall@taylorbiz.com,843-760-6681,NSC_DIRECT,2023-12-05 10:28:53.294192-05:00,Charlotte,NC,28211
117,Huntersville Partners Co,,,9158,steven.wilson@huntersville.com,474-667-4969,NSC_DIRECT,2024-06-11 01:39:27.688320-05:00,Nashville,TN,37201
118,Gastonia Company LLC,,97-1567399,3385,kathleen.cheng@gastoniaco.com,209-370-4892,NSC_DIRECT,2022-05-23 00:22:08.718958-05:00,Charlotte,NC,28204
119,Matthews Brothers LLC,,347379865,5628,pamela.adams@matthewsbiz.com,581-767-1931,NSC_DIRECT,2022-03-05 09:35:32.270331-05:00,Raleigh,NC,27601
120,Steele Creek Coffee Group LLC,,83-1835548,,scott.nguyen@steelebiz.com,633-613-3496,NSC_DIRECT,2023-09-05 05:45:57.126249-05:00,Winston-Salem,NC,27101
121,Perez Flooring Services LLC,,,5821,brian.sanchez@perezco.com,358-669-3717,CASCADE,2024-06-10 21:48:00.606130-05:00,Concord,NC,28025
122,Sunbelt Contractors Inc,,51-0836604,7914,kimberly.adams@sunbeltco.com,695-402-6871,BAYLINE,2020-06-03 05:54:46.425409-05:00,Riverside,CA,92501
123,Belmont Optical LLC,Belmont Optical,63-1678141,,sandra.perez@belmont.com,205-343-5308,CASCADE,2025-06-26 02:54:39.772348-05:00,Greenville,SC,29601
124,Davis Catering Co,,38-3226268,0509,daniel.robinson@davis.com,262-490-6096,BAYLINE,2021-03-16 03:40:16.667315-05:00,Nashville,TN,37201
125,Cherryville Coffee Group LLC,Cherryville Coffee Group,55-5320045,1762,katherine.lewis@cherryville.com,255-801-8083,NSC_DIRECT,2020-05-03 15:14:36.662380-05:00,Gastonia,NC,28054
126,Beatties Ford Optical Inc,,985442548,3667,sarah.thomas@beattiesbiz.com,821-315-6328,NSC_DIRECT,2021-04-17 13:00:35.144804-05:00,Gastonia,NC,28054
127,Boyd Tire Holdings LLC,,79-0441534,1087,brenda.wright@boydco.com,908-439-0213,NSC_DIRECT,2024-01-10 22:09:41.854126-05:00,Rock Hill,SC,29730
128,Beatties Ford Pest Control Inc,,28-8844122,3013,donna.jones@beattiesbiz.com,859-595-9456,NSC_DIRECT,2019-02-10 06:48:22.944879-05:00,Charlotte,NC,28202
129,Tryon HVAC Group LLC,,50-5809564,7688,ronald.miller@tryonco.com,556-926-0419,NSC_DIRECT,2022-10-15 14:46:29.560003-05:00,Atlanta,GA,30303
130,Carter Pharmacy Co,,32-9550116,6760,katherine.white@carterco.com,881-852-2416,BAYLINE,2020-10-01 15:10:11.573980-05:00,Norfolk,VA,23510
131,Gastonia Services Partners LLC,,26-7770427,,gregory.scott@gastoniabiz.com,8117270555,NSC_DIRECT,2023-10-26 14:00:57.396349-05:00,Charlotte,NC,28211
132,Cherryville Tax LLC,,41-4785523,6351,michelle.martin@cherryville.com,797-978-7908,BAYLINE,2022-01-20 22:04:29.971835-05:00,Charlotte,NC,28202
133,Huntersville Pharmacy LLC,,75-5019155,2079,pamela.green@huntersvillebiz.com,694-413-6455,NSC_DIRECT,2024-11-22 02:17:00.516051-05:00,Riverside,CA,92501
134,Rowan Company Co,,,4057,ryan.whitfield@rowaninc.com,353-626-5386,BAYLINE,2020-06-17 18:18:47.109851-05:00,Charlotte,NC,28211
135,Martinez Metal Inc,,97-2485243,4885,cynthia.roberts@martinezinc.com,823-565-7951,BAYLINE,2018-12-24 12:52:46.977489-05:00,Richmond,VA,23219
136,Tryon Brothers LLC,,27-1265358,,ronald.pridgen@tryonbiz.com,988-359-8477,NSC_DIRECT,2022-01-21 16:50:32.311227-05:00,Concord,NC,28025
137,Corner Rise Bakery LLC,,84-3921776,4417,owner@cornerrisebakery.com,704-555-0182,NSC_DIRECT,2023-05-18 10:41:00-05:00,Charlotte,NC,28205
138,Rowan Insurance Inc,Rowan Insurance,69-1976359,4924,emily.baker@rowanco.com,925-402-4011,NSC_DIRECT,2020-09-15 09:07:46.463428-05:00,Fresno,CA,93701
139,Steele Creek Body Shop LLC,Steele Creek Body Shop,237779065,2105,ryan.campbell@steele.com,(453) 424-5957,NSC_DIRECT,2024-04-06 14:48:21.101562-05:00,Knoxville,TN,37902
140,Blue Ridge Dental LLC,Blue Ridge Dental,67-0458693,,elizabeth.robinson@blue.com,205-330-8962,NSC_DIRECT,2022-08-09 07:11:35.627058-05:00,Durham,NC,27701
141,Cherryville Company Solutions Inc,,283650010,9919,barbara.anderson@cherryville.com,511-694-0786,BAYLINE,2022-09-23 17:39:41.661170-05:00,Gastonia,NC,28054
142,Dilworth Works Inc,,78 1352263,6855,charles.vasquez@dilworthinc.com,568-545-1190,BAYLINE,2020-05-26 20:32:28.257661-05:00,Winston-Salem,NC,27101
143,Cedar Metal Services LLC,Cedar Metal Services,51-3052124,,sarah.blalock@cedarbiz.com,837-738-1540,NSC_DIRECT,2023-03-30 17:43:05.514491-05:00,Riverside,CA,92501
144,Lee Pharmacy Solutions Inc,,33-6799913,7649,barbara.torres@leeinc.com,640-769-1779,NSC_DIRECT,2021-12-02 06:48:16.869761-05:00,Charlotte,NC,28211
145,Cedar Salon Co,Cedar Salon,,0053,sandra.blalock@cedarinc.com,695-836-5694,NSC_DIRECT,2022-05-12 12:37:55.876609-05:00,Greenville,SC,29601
146,Cherryville Security LLC,,93-2059959,9714,donna.davis@cherryville.com,5794256916,NSC_DIRECT,2025-10-21 21:23:36.083365-05:00,Nashville,TN,37201
147,Randolph Salon Inc,,EIN 98-0923872,,sharon.thomas@randolphbiz.com,5365022221,CASCADE,2019-10-09 07:40:55.740516-05:00,Bakersfield,CA,93301
148,Granite Roasters Inc,Granite Roasters,,7135,benjamin.vasquez@graniteinc.com,(557) 438-7421,NSC_DIRECT,2023-09-06 19:23:43.767240-05:00,Winston-Salem,NC,27101
149,Concord Enterprises LLC,,86-4931128,1336,emma.rivera@concord.com,448-748-1446,NSC_DIRECT,2024-03-27 11:16:25.208913-05:00,Winston-Salem,NC,27101
150,Lantern Roofing Solutions Inc,,73-1247946,9312,christopher.ramirez@lanternbiz.com,210-857-7477,NSC_DIRECT,2024-03-07 12:22:35.528208-05:00,Fresno,CA,93701
151,Pinehurst Welding Inc,Pinehurst Welding,56-9230743,1055,kathleen.miller@pinehurstinc.com,843-907-0738,NSC_DIRECT,2024-04-16 16:37:23.149918-05:00,Sacramento,CA,95814
152,Lincolnton Physical Therapy Group LLC,,58 5486873,,nicholas.wilson@lincolntoninc.com,8699320399,NSC_DIRECT,2025-01-31 10:05:13.697360-05:00,Concord,NC,28025
153,Elizabeth Welding Holdings LLC,Elizabeth Welding Holdings,720034274,3508,samuel.johnson@elizabeth.com,256-664-9396,CASCADE,2019-02-26 01:01:32.057952-05:00,Fresno,CA,93701
154,Concord Supply Co,Concord Supply,322082247,6414,daniel.clark@concordbiz.com,421-802-2617,NSC_DIRECT,2021-03-05 15:31:31.916995-05:00,Charlotte,NC,28202
155,Sunbelt Logistics LLC,Sunbelt Logistics,EIN 86-2474301,8529,patricia.clark@sunbeltbiz.com,(832) 076830,CASCADE,2023-07-07 04:05:11.157479-05:00,Bakersfield,CA,93301
156,Blue Ridge and Sons Inc,,22-0105210,6755,emma.allen@bluebiz.com,852-564-4614,NSC_DIRECT,2022-10-08 05:58:11.305012-05:00,Riverside,CA,92501
